epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.0716,4.45551,0.20946,1.45442,0.29665,0.2614,0.2749,0.13952,3.62208,0.35783,0.97599,0.0672946,0.000330357,0.000330357
2,95.8207,3.54064,0.15313,0.91897,0.28164,0.23057,0.23886,0.11052,3.47368,0.18286,0.82595,0.0342945,0.000663527,0.000663527
3,132.784,3.32529,0.14707,0.87453,0.352,0.25033,0.30456,0.13536,3.43634,0.16344,0.8708,0.00129366,0.00099604,0.00099604
4,170.026,3.20011,0.1434,0.82591,0.80364,0.33854,0.27396,0.15021,3.14008,0.17021,0.70098,0.000997781,0.000997781,0.000997781
5,205.633,3.17375,0.14609,0.78726,0.1972,0.27769,0.19458,0.09311,2.98915,0.18245,0.67827,0.000996058,0.000996058,0.000996058
6,235.841,3.08398,0.14001,0.75337,0.75746,0.3254,0.26839,0.13747,3.07917,0.14855,0.6606,0.000993845,0.000993845,0.000993845
7,266.291,3.02135,0.1386,0.73341,0.84264,0.35406,0.33767,0.16985,2.99533,0.13873,0.62784,0.000991145,0.000991145,0.000991145
8,295.962,3.03946,0.13807,0.71127,0.7423,0.32964,0.24695,0.12879,2.97313,0.14746,0.61861,0.00098796,0.00098796,0.00098796
9,323.421,2.94744,0.13417,0.71377,0.80856,0.3506,0.31402,0.15722,2.86572,0.14053,0.6463,0.000984293,0.000984293,0.000984293
10,351.465,2.94351,0.13325,0.69232,0.81211,0.36279,0.32494,0.18043,2.84642,0.14101,0.6003,0.000980149,0.000980149,0.000980149
11,378.934,2.9507,0.13281,0.68964,0.87195,0.34018,0.3722,0.19401,2.80723,0.14148,0.60007,0.000975531,0.000975531,0.000975531
12,408.763,2.91893,0.13269,0.67302,0.78934,0.35946,0.31816,0.17514,2.84878,0.14421,0.58572,0.000970443,0.000970443,0.000970443
13,436.56,2.90539,0.13139,0.6752,0.78407,0.35184,0.29352,0.15663,3.00309,0.14077,0.59662,0.000964892,0.000964892,0.000964892
14,464.285,2.85603,0.12969,0.67206,0.86764,0.3319,0.35374,0.18446,2.90694,0.13811,0.60698,0.000958881,0.000958881,0.000958881
15,492.843,2.87864,0.13107,0.6656,0.78102,0.3429,0.27657,0.15111,2.7994,0.14514,0.58752,0.000952418,0.000952418,0.000952418
16,521.222,2.88032,0.1304,0.65681,0.7554,0.34853,0.27938,0.13928,3.11559,0.15634,0.58939,0.000945509,0.000945509,0.000945509
17,549.384,2.89733,0.13035,0.64839,0.7851,0.34758,0.32693,0.18087,2.78597,0.13914,0.58655,0.00093816,0.00093816,0.00093816
18,576.648,2.81807,0.12832,0.65989,0.80107,0.33216,0.33502,0.17609,2.87884,0.14441,0.60765,0.000930378,0.000930378,0.000930378
