epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.0182,3.89436,2.36449,1.93048,0.1326,0.17857,0.10212,0.02291,3.36538,2.92808,1.41243,0.0675893,0.000327381,0.000327381
2,46.8638,2.62162,1.39063,1.05764,0.68937,0.28449,0.19177,0.0677,2.87845,1.86445,0.99088,0.0345893,0.00066069,0.00066069
3,73.6126,2.43832,1.31679,1.0147,0.72675,0.31421,0.23733,0.08674,2.76358,1.38476,0.97254,0.00158914,0.000993899,0.000993899
4,95.9023,2.36933,1.30087,0.91953,0.22117,0.31268,0.20412,0.08112,2.52304,1.48565,0.89818,0.000999662,0.000999662,0.000999662
5,110.541,2.22976,1.29343,0.86853,0.71348,0.33992,0.25346,0.11191,2.36082,1.31861,0.83722,0.0009994,0.0009994,0.0009994
6,130.444,2.19463,1.26333,0.83228,0.81566,0.33359,0.37638,0.15935,2.27083,1.2062,0.85852,0.000999063,0.000999063,0.000999063
7,157.012,2.20969,1.20848,0.81121,0.86779,0.35781,0.39638,0.17927,2.17264,1.21313,0.7926,0.00099865,0.00099865,0.00099865
8,176.904,2.12926,1.28648,0.78298,0.80019,0.34966,0.36747,0.16895,2.21878,1.31376,0.72217,0.000998163,0.000998163,0.000998163
9,190.548,2.11217,1.24839,0.75161,0.77837,0.35038,0.34501,0.15717,2.07582,1.22455,0.71853,0.000997602,0.000997602,0.000997602
10,216.58,2.1702,1.26409,0.72565,0.83437,0.36451,0.39489,0.16955,2.2615,1.20538,0.72144,0.000996965,0.000996965,0.000996965
11,236.812,2.10431,1.23452,0.71251,0.81727,0.3694,0.38439,0.16914,2.17364,1.21684,0.73687,0.000996254,0.000996254,0.000996254
12,257.89,2.09502,1.2277,0.72818,0.78951,0.35131,0.35055,0.1564,2.15415,1.20752,0.73497,0.000995469,0.000995469,0.000995469
13,278.353,2.06446,1.22336,0.71268,0.83634,0.35174,0.40242,0.18186,2.05248,1.1673,0.71497,0.00099461,0.00099461,0.00099461
14,296.046,2.09405,1.21798,0.68492,0.81391,0.3319,0.36133,0.17449,2.12108,1.2087,0.70293,0.000993676,0.000993676,0.000993676
15,337.624,2.04827,1.2179,0.68724,0.8423,0.35985,0.38837,0.17541,2.1007,1.19228,0.7139,0.000992668,0.000992668,0.000992668
16,371.227,2.04403,1.21896,0.70467,0.81443,0.3527,0.36041,0.16632,2.19,1.28495,0.72697,0.000991586,0.000991586,0.000991586
